Date;Return_incD;Return_excD
19260921;0.004003;0.003878
19260922;-0.002042;-0.002042
19260923;0.002617;0.002617
19260924;0.007508;0.007299
19260925;0.002409;0.002409
19260927;-0.001923;-0.00202
19260928;-0.000015;-0.000015
19260929;-0.003615;-0.003615
19260930;0.00446;0.003895
19261001;0.008863;0.008817
19261002;-0.000974;-0.000974
19261004;-0.015321;-0.01537
19261005;-0.011636;-0.012037
19261006;-0.004755;-0.004755
19261007;-0.009997;-0.009997
19261008;0.006137;0.005966
19261009;-0.010681;-0.010681
19261011;-0.007048;-0.007226
19261013;0.009222;0.009222
19261014;0.009533;0.009533
19261015;-0.019495;-0.020138
19261016;-0.00762;-0.00762
19261018;0.008787;0.008787
19261019;-0.012061;-0.012061
19261020;0.000422;0.000366
19261021;0.01721;0.017147
19261022;-0.005123;-0.005151
19261023;0.004855;0.004855
19261025;-0.000297;-0.000297
19261026;0.002688;0.002688
19261027;0.012247;0.012247
19261028;-0.00196;-0.002074
19261029;-0.000714;-0.001381
19261030;-0.00263;-0.00263
19261101;0.005396;0.004857
19261103;0.002668;0.002668
19261104;0.007209;0.007209
19261105;-0.000305;-0.000437
19261106;0.001715;0.001715
19261108;0.006382;0.006382
19261109;-0.000064;-0.000064
19261110;-0.007294;-0.008012
19261111;0.007018;0.007018
19261112;0.002837;0.002837
19261113;-0.0038;-0.0038
19261115;0.004012;0.003177
19261116;0.002936;0.002911
19261117;-0.003963;-0.003963
19261118;-0.005428;-0.005606
19261119;-0.007979;-0.010963
19261120;0.003662;0.003662
19261122;0.005843;0.005843
19261123;0.004405;0.004405
19261124;0.000397;0.000397
19261126;0.003156;0.002362
19261127;-0.001429;-0.001429
19261129;-0.003417;-0.003417
19261130;0.003114;0.001953
19261201;0.002556;0.001625
19261202;0.004838;0.004838
19261203;0.002793;0.001962
19261204;-0.001293;-0.001293
19261206;0.000897;0.000897
19261207;-0.001264;-0.001279
19261208;-0.001366;-0.001501
19261209;0.004796;0.00471
19261210;0.004124;0.003835
19261211;0.000898;0.000898
19261213;0.003377;0.003319
19261214;0.001213;0.001213
19261215;0.002131;0.001206
19261216;-0.00585;-0.00585
19261217;0.010797;0.01016
19261218;0.004671;0.004671
19261220;-0.002059;-0.002163
19261221;-0.000195;-0.000195
19261222;-0.000282;-0.000282
19261223;0.003182;0.003067
19261224;0.002512;0.002426
19261227;-0.002874;-0.002925
19261228;-0.011453;-0.011453
19261229;0.004787;0.004787
19261230;-0.004444;-0.005215
19261231;0.003358;0.002743
19270103;-0.008618;-0.008672
19270104;0.003065;0.003065
19270105;0.000353;0.000353
19270106;-0.002886;-0.002886
19270107;0.004159;0.003909
19270108;0.002361;0.002361
19270110;0.001839;0.001581
19270111;-0.002884;-0.002884
19270112;0.001962;0.001962
19270113;-0.00027;-0.000352
19270114;0.000657;-0.00034
19270115;0.001562;0.001562
19270117;-0.000974;-0.000974
19270118;-0.000542;-0.000542
19270119;0.006041;0.006041
19270120;-0.000893;-0.001163
19270121;-0.001481;-0.001588
19270122;-0.00379;-0.00379
19270124;-0.005008;-0.005031
19270125;-0.011375;-0.011375
19270126;0.001747;0.001747
19270127;-0.00385;-0.00385
19270128;0.001863;0.001516
19270129;0.008495;0.008495
19270131;0.006255;0.005969
19270201;-0.001505;-0.00202
19270202;0.009638;0.009638
19270203;0.001654;0.001654
19270204;0.002386;0.002386
19270205;-0.002766;-0.002766
19270207;-0.00103;-0.001424
19270208;0.000072;0.000072
19270209;0.000556;0.000556
19270210;0.001447;0.00094
19270211;0.004792;0.004792
19270214;0.004225;0.004225
19270215;0.001063;0.000416
19270216;0.000026;0.000026
19270217;0.004635;0.004635
19270218;0.003452;0.002385
19270219;0.000421;0.000421
19270221;-0.002045;-0.002045
19270223;0.008068;0.008068
19270224;0.000424;0.000424
19270225;0.002429;0.001596
19270226;0.000453;0.000453
19270228;0.00642;0.005524
19270301;-0.002925;-0.003635
19270302;-0.013155;-0.013155
19270303;0.0123;0.0123
19270304;-0.00626;-0.007511
19270305;-0.002547;-0.002547
19270307;-0.003554;-0.003554
19270308;0.00178;0.001646
19270309;0.00573;0.005646
19270310;0.005052;0.005052
19270311;0.002229;0.002082
19270312;-0.000675;-0.000675
19270314;0.002368;0.002077
19270315;-0.007267;-0.007671
19270316;0.008579;0.008516
19270317;0.00469;0.004215
19270318;-0.007122;-0.00715
19270319;0.000369;0.000369
19270321;0.00296;0.002862
19270322;-0.010411;-0.010411
19270323;0.003246;0.003246
19270324;0.006173;0.006173
19270325;0.000725;0.000466
19270326;0.002515;0.002515
19270328;0.00594;0.00589
19270329;-0.001966;-0.001966
19270330;-0.004723;-0.004723
19270331;0.003726;0.002978
19270401;0.00041;0.00024
19270402;-0.001461;-0.001461
19270404;0.006415;0.006363
19270405;0.00414;0.003959
19270406;0.000276;0.000276
19270407;0.001557;0.001557
19270408;0.004243;0.004068
19270409;0.000407;0.000407
19270411;0.002567;0.002484
19270412;-0.003139;-0.003139
19270413;0.003286;0.003209
19270414;0.001384;0.000924
19270416;0.002369;0.002369
19270418;-0.000557;-0.000557
19270419;0.001076;0.001076
19270420;0.003318;0.003035
19270421;0.005326;0.005226
19270422;0.002767;0.002745
19270423;-0.003021;-0.003021
19270425;-0.015292;-0.015292
19270426;0.005388;0.005388
19270427;-0.002215;-0.002215
19270428;-0.011291;-0.011559
19270429;0.00617;0.005951
19270430;-0.00088;-0.00088
19270502;0.002605;0.002122
19270503;0.007939;0.007939
19270504;0.00738;0.00738
19270505;0.002867;0.002818
19270506;0.003161;0.002724
19270507;0.003837;0.003837
19270509;0.001416;0.001416
19270510;0.000371;-0.000043
19270511;-0.003427;-0.003507
19270512;-0.000937;-0.000937
19270513;0.005798;0.00577
19270514;0.000583;0.000583
19270516;-0.006653;-0.007141
19270517;0.005214;0.005214
19270518;0.006618;0.006538
19270519;0.001995;0.001995
19270520;0.006046;0.004238
19270521;0.001871;0.001871
19270523;0.001302;0.001302
19270524;-0.001726;-0.001726
19270525;0.002411;0.002411
19270526;0.002037;0.00156
19270527;0.004676;0.004308
19270528;0.001743;0.001743
19270531;0.003515;0.003155
19270601;0.004143;0.003328
19270602;0.000989;0.000989
19270603;-0.010333;-0.011356
19270604;0.005088;0.005088
19270606;0.004398;0.004398
19270607;-0.003744;-0.004386
19270608;0.00257;0.002417
19270609;0.000182;0.000107
19270610;-0.003577;-0.003954
19270611;-0.000672;-0.000672
19270614;-0.016542;-0.016542
19270615;0.007675;0.007317
19270616;0.007492;0.007448
19270617;0.001421;0.00081
19270618;-0.001852;-0.001852
19270620;-0.001566;-0.001683
19270621;-0.002909;-0.002909
19270622;0.001242;0.001242
19270623;-0.007725;-0.007725
19270624;0.001931;0.001205
19270625;-0.001342;-0.001342
19270627;-0.011114;-0.0112
19270628;0.002993;0.002993
19270629;0.000509;0.000509
19270630;0.000367;0.000017
19270701;0.006433;0.005865
19270702;0.005705;0.005705
19270705;0.00947;0.009421
19270706;0.005895;0.005895
19270707;-0.001918;-0.001918
19270708;-0.00152;-0.001749
19270709;0.001414;0.001414
19270711;0.004725;0.004476
19270712;0.004533;0.004533
19270713;0.002393;0.002393
19270714;0.00456;0.004445
19270715;0.00229;0.001681
19270716;0.000733;0.000733
19270718;0.001901;0.001901
19270719;0.00454;0.00454
19270720;0.004964;0.004703
19270721;0.000468;0.000376
19270722;-0.001104;-0.001416
19270723;0.001644;0.001644
19270725;0.004732;0.004732
19270726;0.003809;0.003809
19270727;0.001581;0.001581
19270728;0.00305;0.00305
19270729;0.004845;0.004672
19270730;0.005953;0.005953
19270801;0.006614;0.006185
19270802;0.009027;0.009027
19270803;-0.008569;-0.008569
19270804;0.008589;0.008576
19270805;-0.007225;-0.007379
19270806;-0.002317;-0.002317
19270808;-0.011062;-0.011062
19270809;0.010021;0.009755
19270810;0.003468;0.003119
19270811;-0.009456;-0.009456
19270812;-0.014298;-0.014411
19270813;0.009217;0.009217
19270815;0.013853;0.013421
19270816;0.005423;0.005423
19270817;0.001886;0.001886
19270818;0.000995;0.000995
19270819;0.003748;0.002855
19270820;0.003334;0.003334
19270822;0.005264;0.005264
19270823;0.001171;0.001171
19270824;0.002571;0.002571
19270825;0.000992;0.000535
19270826;0.004484;0.004219
19270827;-0.001034;-0.001034
19270829;0.001171;0.001171
19270830;0.001139;0.001139
19270831;-0.005796;-0.007051
19270901;0.00847;0.008181
19270902;0.00676;0.006269
19270903;0.00568;0.00568
19270906;0.009963;0.009778
19270907;0.005067;0.005067
19270908;-0.000931;-0.001066
19270909;-0.005484;-0.00585
19270910;0.004257;0.004257
19270912;-0.004524;-0.004524
19270913;0.013117;0.01288
19270914;0.003457;0.003457
19270915;0.004965;0.004788
19270916;0.001131;0.000842
19270917;-0.002767;-0.002767
19270919;-0.005467;-0.00549
19270920;0.004688;0.004432
19270921;-0.0012;-0.0012
19270922;-0.011843;-0.011843
19270923;0.004719;0.004223
19270924;0.007921;0.007921
19270926;-0.010483;-0.010483
